group,day,visible_point,volume_mm3,treatment,source_pixel_y
R_0.05pct,0,1,4.666667,true,97
R_0.05pct,0,2,3.733333,true,111
R_0.05pct,0,3,3.000000,true,122
R_0.05pct,7,1,3.866667,true,109
R_0.05pct,7,2,3.266667,true,118
R_0.05pct,7,3,2.866667,true,124
R_0.05pct,7,4,2.133333,true,135
R_0.05pct,14,1,3.133333,true,120
R_0.05pct,14,2,2.400000,true,131
R_0.05pct,21,1,3.466667,true,115
R_0.05pct,21,2,2.533333,true,129
R_0.05pct,28,1,4.800000,true,95
R_0.05pct,28,2,3.333333,true,117
R_0.05pct,35,1,5.200000,true,89
R_0.05pct,35,2,4.800000,true,95
R_0.05pct,35,3,4.400000,true,101
R_0.05pct,35,4,3.800000,true,110
R_0.05pct,45,1,6.200000,true,74
R_0.05pct,45,2,5.466667,true,85
R_0.05pct,45,3,4.466667,true,100
R_0.05pct,45,4,4.066667,true,106
R_0pct,0,1,112.359551,false,459
R_0pct,0,2,53.932584,false,485
R_0pct,0,3,24.719101,false,498
R_0pct,0,4,8.988764,false,505
R_0pct,7,1,224.719101,false,409
R_0pct,7,2,164.044944,false,436
R_0pct,7,3,132.584270,false,450
R_0pct,7,4,92.134831,false,468
R_0pct,7,5,58.426966,false,483
R_0pct,14,1,253.932584,false,396
R_0pct,14,2,242.696629,false,401
R_0pct,14,3,182.022472,false,428
R_0pct,14,4,134.831461,false,449
R_100pct,0,1,38.461538,false,504
R_100pct,0,2,0.000000,false,510
R_100pct,7,1,246.153846,false,477
R_100pct,7,2,100.000000,false,496
R_100pct,7,3,15.384615,false,507
R_100pct,14,1,400.000000,false,457
R_100pct,14,2,307.692308,false,469
R_100pct,14,3,269.230769,false,474
R_100pct,14,4,215.384615,false,481
R_100pct,14,5,92.307692,false,497
R_100pct,14,6,23.076923,false,506
R_100pct,21,1,823.076923,false,402
R_100pct,21,2,492.307692,false,445
R_100pct,21,3,392.307692,false,458
R_100pct,21,4,269.230769,false,474
R_100pct,21,5,138.461538,false,491
R_100pct,21,6,92.307692,false,497
R_1pct,0,1,4.333333,true,102
R_1pct,0,2,3.933333,true,108
R_1pct,0,3,2.533333,true,129
R_1pct,7,1,3.466667,true,115
R_1pct,7,2,3.133333,true,120
R_1pct,7,3,2.666667,true,127
R_1pct,7,4,1.800000,true,140
R_1pct,14,1,3.466667,true,115
R_1pct,14,2,3.066667,true,121
R_1pct,14,3,2.133333,true,135
R_1pct,21,1,5.200000,true,89
R_1pct,21,2,4.533333,true,99
R_1pct,21,3,4.133333,true,105
R_1pct,21,4,3.266667,true,118
R_1pct,28,1,6.000000,true,77
R_1pct,28,2,5.400000,true,86
R_1pct,28,3,5.066667,true,91
R_1pct,28,4,4.466667,true,100
R_1pct,28,5,3.466667,true,115
R_1pct,35,1,7.666667,true,52
R_1pct,35,2,6.400000,true,71
R_1pct,35,3,5.600000,true,83
R_1pct,35,4,5.066667,true,91
R_1pct,35,5,3.800000,true,110
R_20pct,0,1,5.800000,true,80
R_20pct,0,2,4.733333,true,96
R_20pct,0,3,4.200000,true,104
R_20pct,0,4,2.533333,true,129
R_20pct,7,1,4.866667,true,94
R_20pct,7,2,4.066667,true,106
R_20pct,7,3,3.733333,true,111
R_20pct,7,4,2.666667,true,127
R_20pct,14,1,5.666667,true,82
R_20pct,14,2,5.333333,true,87
R_20pct,14,3,4.400000,true,101
R_20pct,14,4,3.866667,true,109
R_20pct,24,1,6.866667,true,64
R_20pct,24,2,5.066667,true,91
R_20pct,24,3,4.666667,true,97
