emdr,initial_resistant_fraction,schedule,relapse_day,best_adaptive_window_percent
False,0.0,continuous,46,
False,0.0,intermittent_1_on_1_off,86,
False,0.0,adaptive,23,10
False,0.01,continuous,32,
False,0.01,intermittent_1_on_1_off,52,
False,0.01,adaptive,25,10
False,0.05,continuous,27,
False,0.05,intermittent_1_on_1_off,34,
False,0.05,adaptive,22,12
False,0.2,continuous,21,
False,0.2,intermittent_1_on_1_off,19,
False,0.2,adaptive,18,1
True,0.0,continuous,37,
True,0.0,intermittent_1_on_1_off,50,
True,0.0,adaptive,23,10
True,0.01,continuous,32,
True,0.01,intermittent_1_on_1_off,42,
True,0.01,adaptive,22,10
True,0.05,continuous,27,
True,0.05,intermittent_1_on_1_off,32,
True,0.05,adaptive,20,12
True,0.2,continuous,21,
True,0.2,intermittent_1_on_1_off,18,
True,0.2,adaptive,16,1
